Gene chr
SUDS3 chr12
SRRM4 chr12
HSPB8 chr12
CCDC60 chr12
CIT chr12
RAB35 chr12
GCN1L1 chr12
PXN chr12
COQ5 chr12
POP5 chr12
UNC119B chr12
C12orf43 chr12
P2RX4 chr12
RNF34 chr12
KDM2B chr12
TMEM120B chr12
RHOF chr12
SETD1B chr12
PSMD9 chr12
WDR66 chr12
MLXIP chr12
B3GNT4 chr12
CLIP1 chr12
ZCCHC8 chr12
GPR81 chr12
CCDC62 chr12
HIP1R chr12
VPS37B chr12
ABCB9 chr12
OGFOD2 chr12
ARL6IP4 chr12
PITPNM2 chr12
MPHOSPH9 chr12
C12orf65 chr12
SBNO1 chr12
SETD8 chr12
SNRNP35 chr12
RILPL1 chr12
ATP6V0A2 chr12
CCDC92 chr12
ZNF664 chr12
NCOR2 chr12
SCARB1 chr12
DHX37 chr12
AACS chr12
TMEM132B chr12
SLC15A4 chr12
RIMBP2 chr12
STX2 chr12
GPR133 chr12
SFRS8 chr12
MMP17 chr12
ULK1 chr12
EP400 chr12
EP400NL chr12
DDX51 chr12
NOC4L chr12
POLE chr12
PXMP2 chr12
PGAM5 chr12
ANKLE2 chr12
GOLGA3 chr12
CHFR chr12
ZNF605 chr12
ZNF26 chr12
ZNF140 chr12
CRYL1 chr13
FREM2 chr13
TSC22D1 chr13
TPT1-AS1 chr13
RNASEH2B-AS1 chr13
WDFY2 chr13
FLJ37307 chr13
TBC1D4 chr13
MBNL2 chr13
GGACT chr13
ERCC5 chr13
ZMYM5 chr13
ATP12A chr13
UTP14C chr13
OLFM4 chr13
PCID2 chr13
FAM48A chr13
MPHOSPH8 chr13
ZMYM2 chr13
IFT88 chr13
SKA3 chr13
MRP63 chr13
SGCG chr13
SACS chr13
TNFRSF19 chr13
MIPEP chr13
SPATA13 chr13
CENPJ chr13
LOC646405 chr13
FAM123A chr13
NUPL1 chr13
SHISA2 chr13
RNF6 chr13
WASF3 chr13
RASL11A chr13
GTF3A chr13
MTIF3 chr13
PDX1 chr13
CDX2 chr13
PRHOXNB chr13
USPL1 chr13
ALOX5AP chr13
C13orf33 chr13
HSPH1 chr13
FRY chr13
N4BP2L1 chr13
PDS5B chr13
STARD13 chr13
RFC3 chr13
SMAD9 chr13
ALG5 chr13
EXOSC8 chr13
C13orf23 chr13
NHLRC3 chr13
LHFP chr13
FOXO1 chr13
ELF1 chr13
WBP4 chr13
KBTBD7 chr13
KIAA0564 chr13
DGKH chr13
AKAP11 chr13
TNFSF11 chr13
NUFIP1 chr13
KIAA1704 chr13
LCP1 chr13
LRCH1 chr13
ESD chr13
HTR2A chr13
MED4 chr13
ITM2B chr13
LPAR6 chr13
RB1 chr13
RCBTB2 chr13
MLNR chr13
SETDB2 chr13
PHF11 chr13
RCBTB1 chr13
TRIM13 chr13
KCNRG chr13
RNASEH2B chr13
FAM124A chr13
SERPINE3 chr13
ATP7B chr13
CKAP2 chr13
PCDH8 chr13
PCDH17 chr13
PCDH9 chr13
KLHL1 chr13
DIS3 chr13
PIBF1 chr13
LMO7 chr13
MYCBP2 chr13
SCEL chr13
SLAIN1 chr13
RBM26 chr13
SPRY2 chr13
SLITRK5 chr13
GPC6 chr13
DZIP1 chr13
RNF113B chr13
FARP1 chr13
DOCK9 chr13
CLYBL chr13
ZIC5 chr13
A2LD1 chr13
TMTC4 chr13
ITGBL1 chr13
LOC643677 chr13
KDELC1 chr13
SLC10A2 chr13
LIG4 chr13
IRS2 chr13
COL4A1 chr13
COL4A2 chr13
CARKD chr13
CARS2 chr13
ING1 chr13
ANKRD10 chr13
SOX1 chr13
ATP11A chr13
MCF2L chr13
PROZ chr13
GRTP1 chr13
ADPRHL1 chr13
TMCO3 chr13
FAM70B chr13
GAS6 chr13
RASA3 chr13
CDC16 chr13
UPF3A chr13
TEP1 chr14
CHD8 chr14
RBM23 chr14
HAUS4 chr14
LOC100506071 chr14
FKBP3 chr14
RP11-368P15 chr14
ESR2 chr14
BX161428 chr14
PLEKHH1 chr14
BC044305 chr14
AK055876 chr14
ZNF410 chr14
FLVCR2 chr14
C14orf166B chr14
GTF2A1 chr14
FOXN3-AS1 chr14
C14orf159 chr14
NDUFB1 chr14
WDR25 chr14
BEGAIN chr14
AL132709 chr14
RAGE chr14
RP11-260M19 chr14
KIAA0284 chr14
C14orf79 chr14
MTA1 chr14
CRIP2 chr14
abParts chr14
TTC5 chr14
TPPP2 chr14
FLJ10357 chr14
METTL3 chr14
C14orf93 chr14
PCK2 chr14
IPO4 chr14
KIAA0323 chr14
CDKL1 chr14
PTGDR chr14
HEATR4 chr14
NEK9 chr14
C14orf184 chr14
SERPINA9 chr14
C14orf80 chr14
NGDN chr14
PARP2 chr14
KLHL33 chr14
APEX1 chr14
RNASE4 chr14
RNASE1 chr14
RNASE3 chr14
RNASE2 chr14
METT11D1 chr14
NDRG2 chr14
RNASE13 chr14
ZNF219 chr14
C14orf176 chr14
RPGRIP1 chr14
SUPT16H chr14
TOX4 chr14
SALL2 chr14
TCR-alpha chr14
hDV103S1 chr14
TCRA chr14
MRPL52 chr14
REM2 chr14
JUB chr14
PSMB11 chr14
CDH24 chr14
ACIN1 chr14
C14orf119 chr14
SLC7A8 chr14
SLC22A17 chr14
EFS chr14
IL25 chr14
CMTM5 chr14
MYH6 chr14
ZFHX2 chr14
ZNF409 chr14
AP1G2 chr14
JPH4 chr14
DHRS2 chr14
DHRS4 chr14
DHRS4L1 chr14
LRRC16B chr14
DCAF11 chr14
PSME2 chr14
REC8 chr14
TSSK4 chr14
MDP1 chr14
TINF2 chr14
TGM1 chr14
RABGGTA chr14
C14orf21 chr14
CIDEB chr14
LTB4R2 chr14
LTB4R chr14
ADCY4 chr14
KIAA1305 chr14
SDR39U1 chr14
CR597916 chr14
FOXG1 chr14
HECTD1 chr14
C14orf126 chr14
NUBPL chr14
ARHGAP5 chr14
AKAP6 chr14
NPAS3 chr14
EAPP chr14
SNX6 chr14
CFL2 chr14
NFKBIA chr14
INSM2 chr14
BRMS1L chr14
NKX2-1 chr14
BC053597 chr14
CLEC14A chr14
PNN chr14
FBXO33 chr14
KLHL28 chr14
FAM179B chr14
FANCM chr14
MGAT2 chr14
C14orf104 chr14
POLE2 chr14
KLHDC1 chr14
SDCCAG1 chr14
C14orf138 chr14
MAP4K5 chr14
NIN chr14
TRIM9 chr14
C14orf166 chr14
NID2 chr14
PTGER2 chr14
TXNDC16 chr14
GPR137C chr14
FERMT2 chr14
DDHD1 chr14
BMP4 chr14
LGALS3 chr14
FBXO34 chr14
KIAA0831 chr14
KTN1 chr14
C14orf101 chr14
EXOC5 chr14
C14orf105 chr14
C14orf37 chr14
ARID4A chr14
TOMM20L chr14
KIAA0586 chr14
DACT1 chr14
DAAM1 chr14
C14orf149 chr14
RTN1 chr14
C14orf135 chr14
DHRS7 chr14
SIX6 chr14
SLC38A6 chr14
PRKCH chr14
HIF1A chr14
WDR89 chr14
SYNE2 chr14
MTHFD1 chr14
ZBTB25 chr14
C14orf50 chr14
PLEKHG3 chr14
SPTB chr14
RAB15 chr14
FNTB chr14
hCG_2028511 chr14
EIF2S1 chr14
PLEK2 chr14
PIGH chr14
ARG2 chr14
VTI1B chr14
ZFYVE26 chr14
ACTN1 chr14
KIAA0247 chr14
SFRS5 chr14
SLC10A1 chr14
SMOC1 chr14
SLC8A3 chr14
ADAM20 chr14
TTC9 chr14
MAP3K9 chr14
PCNX chr14
SIPA1L1 chr14
DPF3 chr14
DCAF4 chr14
PSEN1 chr14
PAPLN chr14
C14orf169 chr14
ACOT2 chr14
ACOT4 chr14
PNMA1 chr14
C14orf43 chr14
FAM161B chr14
COQ6 chr14
ABCD4 chr14
NPC2 chr14
LTBP2 chr14
KIAA0317 chr14
YLPM1 chr14
DLST chr14
RPS6KL1 chr14
MLH3 chr14
FOS chr14
C14orf1 chr14
TTLL5 chr14
VASH1 chr14
ANGEL1 chr14
C14orf4 chr14
TMEM63C chr14
GSTZ1 chr14
TMED8 chr14
C14orf174 chr14
C14orf133 chr14
AHSA1 chr14
ISM2 chr14
SPTLC2 chr14
C14orf156 chr14
SNW1 chr14
C14orf178 chr14
NRXN3 chr14
C14orf145 chr14
STON2 chr14
SEL1L chr14
GALC chr14
KCNK10 chr14
SPATA7 chr14
PTPN21 chr14
ZC3H14 chr14
C14orf143 chr14
KCNK13 chr14
C14orf102 chr14
TTC7B chr14
RPS6KA5 chr14
CCDC88C chr14
FBLN5 chr14
TRIP11 chr14
SLC24A4 chr14
RIN3 chr14
GOLGA5 chr14
CHGA chr14
ITPK1 chr14
MOAP1 chr14
C14orf109 chr14
KIAA1409 chr14
FAM181A chr14
ASB2 chr14
OTUB2 chr14
IFI27 chr14
SERPINA1 chr14
SERPINA12 chr14
SERPINA4 chr14
SERPINA5 chr14
SERPINA3 chr14
DICER1 chr14
CLMN chr14
C14orf139 chr14
C14orf49 chr14
GLRX5 chr14
ATG2B chr14
SETD3 chr14
CCNK chr14
DEGS2 chr14
RTL1 chr14
DYNC1H1 chr14
HSP90AA1 chr14
WDR20 chr14
ZNF839 chr14
TECPR2 chr14
ANKRD9 chr14
CDC42BPB chr14
C14orf73 chr14
TNFAIP2 chr14
MARK3 chr14
TRMT61A chr14
BAG5 chr14
XRCC3 chr14
KLC1 chr14
ZFYVE21 chr14
PPP1R13B chr14
KIF26A chr14
C14orf180 chr14
INF2 chr14
ADSSL1 chr14
SIVA1 chr14
ZBTB42 chr14
AHNAK2 chr14
CDCA4 chr14
JAG2 chr14
NUDT14 chr14
BRF1 chr14
BTBD6 chr14
PACS2 chr14
BC127913 chr14
TMEM121 chr14
SNC73 chr14
RP11-1084I9 chr15
MTMR15 chr15
RP11-1000B6 chr15
TMCO5B chr15
C15orf57 chr15
LTK chr15
PLA2G4D chr15
GALK2 chr15
GABPB1 chr15
FAM214A chr15
CSNK1G1 chr15
IQCH-AS1 chr15
LRRC49 chr15
LOXL1-AS1 chr15
SEMA7A chr15
NEIL1 chr15
DNM1P35 chr15
SCAPER chr15
RCN2 chr15
TSPAN3 chr15
RP11-379K22 chr15
RP11-379H8 chr15
RP11-553E24 chr15
NTRK3-AS1 chr15
RP11-217B1 chr15
BC038778 chr15
UNC45A chr15
LOC145757 chr15
OR4M2 chr15
SPTBN5 chr15
ZSCAN29 chr15
FLJ10038 chr15
MYO5A chr15
PIF1 chr15
CALML4 chr15
RPP25 chr15
IDH3A chr15
TUBGCP5 chr15
CYFIP1 chr15
NIPA1 chr15
NDN chr15
ATP10A chr15
GABRB3 chr15
HERC2 chr15
APBA2 chr15
NDNL2 chr15
TJP1 chr15
MTMR10 chr15
TRPM1 chr15
OTUD7A chr15
FMN1 chr15
RYR3 chr15
AVEN chr15
PGBD4 chr15
TMEM85 chr15
SLC12A6 chr15
NOP10 chr15
C15orf55 chr15
SPRED1 chr15
THBS1 chr15
GPR176 chr15
EIF2AK4 chr15
PAK6 chr15
LOC644844 chr15
DISP2 chr15
C15orf23 chr15
CHST14 chr15
CASC5 chr15
FAM82A2 chr15
C15orf62 chr15
DNAJC17 chr15
VPS18 chr15
DLL4 chr15
CHAC1 chr15
INO80 chr15
NDUFAF1 chr15
ITPKA chr15
RPAP1 chr15
TYRO3 chr15
MGA chr15
MAPKBP1 chr15
JMJD7-PLA2G4B chr15
PLA2G4E chr15
PLA2G4F chr15
TMEM87A chr15
GANC chr15
CAPN3 chr15
ZFP106 chr15
CCNDBP1 chr15
EPB42 chr15
LCMT2 chr15
TP53BP1 chr15
MAP1A chr15
PDIA3 chr15
ELL3 chr15
SERINC4 chr15
WDR76 chr15
SPG11 chr15
TRIM69 chr15
DUOX2 chr15
DUOX1 chr15
SPATA5L1 chr15
SEMA6D chr15
FBN1 chr15
SECISBP2L chr15
USP8 chr15
USP50 chr15
TRPM7 chr15
SPPL2A chr15
DMXL2 chr15
SCG3 chr15
LYSMD2 chr15
TMOD2 chr15
LEO1 chr15
MAPK6 chr15
GNB5 chr15
MYO5C chr15
ONECUT1 chr15
WDR72 chr15
CCPG1 chr15
DYX1C1 chr15
PRTG chr15
NEDD4 chr15
RFX7 chr15
ZNF280D chr15
CGNL1 chr15
GCOM1 chr15
GRINL1A chr15
HSP90AB4P chr15
FAM63B chr15
SLTM chr15
RNF111 chr15
CCNB2 chr15
MYO1E chr15
BNIP2 chr15
NARG2 chr15
VPS13C chr15
C2CD4A chr15
C2CD4B chr15
TLN2 chr15
AX747619 chr15
APH1B chr15
CA12 chr15
FBXL22 chr15
HERC1 chr15
SNX1 chr15
SNX22 chr15
TRIP4 chr15
ZNF609 chr15
PLEKHO2 chr15
ANKDD1A chr15
MTFMT chr15
LOC390594 chr15
LOC390595 chr15
PDCD7 chr15
CLPX chr15
PARP16 chr15
IGDCC3 chr15
IGDCC4 chr15
DPP8 chr15
PTPLAD1 chr15
MEGF11 chr15
DIS3L chr15
SNAPC5 chr15
ZWILCH chr15
LCTL chr15
SMAD6 chr15
AAGAB chr15
LBXCOR1 chr15
CLN6 chr15
ITGA11 chr15
CORO2B chr15
UACA chr15
THAP10 chr15
THSD4 chr15
MYO9A chr15
GRAMD2 chr15
HEXA chr15
ADPGK chr15
NEO1 chr15
HCN4 chr15
CD276 chr15
LOXL1 chr15
STOML1 chr15
PML chr15
ISLR2 chr15
ISLR chr15
CLK3 chr15
EDC3 chr15
CYP1A2 chr15
LMAN1L chr15
ULK3 chr15
SCAMP2 chr15
C15orf17 chr15
COX5A chr15
C15orf39 chr15
MAN2C1 chr15
SNUPN chr15
CSPG4 chr15
ETFA chr15
ISL2 chr15
PSTPIP1 chr15
SGK269 chr15
TBC1D2B chr15
ACSBG1 chr15
DNAJA4 chr15
IREB2 chr15
CHRNA3 chr15
ADAMTS7 chr15
CTSH chr15
TMED3 chr15
C15orf37 chr15
BCL2A1 chr15
ARNT2 chr15
KIAA1199 chr15
MESDC1 chr15
C15orf26 chr15
IL16 chr15
STARD5 chr15
EFTUD1 chr15
FAM154B chr15
AP3B2 chr15
WHAMM chr15
HOMER2 chr15
TM6SF1 chr15
HDGFRP3 chr15
ADAMTSL3 chr15
SLC28A1 chr15
PDE8A chr15
AKAP13 chr15
KLHL25 chr15
MRPL46 chr15
MRPS11 chr15
ACAN chr15
MFGE8 chr15
ABHD2 chr15
RLBP1 chr15
POLG chr15
RHCG chr15
C15orf42 chr15
KIF7 chr15
PEX11A chr15
WDR93 chr15
MESP1 chr15
MESP2 chr15
ZNF710 chr15
SEMA4B chr15
NGRN chr15
ZNF774 chr15
IQGAP1 chr15
CRTC3 chr15
BLM chr15
FURIN chr15
FES chr15
MAN2A2 chr15
RCCD1 chr15
PRC1 chr15
VPS33B chr15
SLCO3A1 chr15
CHD2 chr15
ARRDC4 chr15
IGF1R chr15
SYNM chr15
LYSMD4 chr15
ASB7 chr15
LRRK1 chr15
CHSY1 chr15
TM2D3 chr15
OR4F6 chr15
HBM chr16
PIGQ chr16
CCDC78 chr16
PAQR4 chr16
CORO7 chr16
RP11-127I20 chr16
RP11-468I15 chr16
RP11-152P23 chr16
RP11-77H9 chr16
RP11-895K13 chr16
FAM18A chr16
LITAF chr16
ABCC6 chr16
RP11-626G11 chr16
IQCK chr16
ATXN2L chr16
DOC2A chr16
ALDOA chr16
DCTPP1 chr16
ZNF688 chr16
VKORC1 chr16
MT1DP chr16
MT1G chr16
FAM192A chr16
DOK4 chr16
KIFC3 chr16
RP11-481J2 chr16
SETD6 chr16
TK2 chr16
RP11-61A14 chr16
RRAD chr16
FBXL8 chr16
NFATC3 chr16
hCG_1998535 chr16
HYDIN chr16
BCAR1 chr16
PKD1L2 chr16
CTD-2588J6 chr16
ATP2C2 chr16
RP11-517C16 chr16
LINC00311 chr16
FENDRR chr16
FANCA chr16
AFG3L1P chr16
PDIA2 chr16
RHBDL1 chr16
EME2 chr16
RPL3L chr16
NTHL1 chr16
NUDT16L1 chr16
PPL chr16
PDXDC1 chr16
ABCC1 chr16
SLC7A5P1 chr16
GTF3C1 chr16
RNF40 chr16
ZNF720 chr16
N4BP1 chr16
MT1IP chr16
NUP93 chr16
CCDC102A chr16
ELMO3 chr16
LRRC29 chr16
PSKH1 chr16
PKD1L3 chr16
DHODH chr16
ADAT1 chr16
KIAA1609 chr16
AK055272 chr16
AK023048 chr16
C16orf55 chr16
LOC100130015 chr16
TRAP1 chr16
ZNF668 chr16
C16orf35 chr16
HBQ1 chr16
LUC7L chr16
ITFG3 chr16
RGS11 chr16
AXIN1 chr16
MRPL28 chr16
TMEM8A chr16
LOC441743 chr16
NME4 chr16
DECR2 chr16
SOLH chr16
C16orf11 chr16
FLJ36208 chr16
WFIKKN1 chr16
C16orf13 chr16
WDR90 chr16
RHOT2 chr16
STUB1 chr16
JMJD8 chr16
WDR24 chr16
FAM173A chr16
HAGHL chr16
NARFL chr16
MSLN chr16
RPUSD1 chr16
CHTF18 chr16
PRR25 chr16
LMF1 chr16
SOX8 chr16
CACNA1H chr16
TPSG1 chr16
BAIAP3 chr16
C16orf42 chr16
GNPTG chr16
UNKL chr16
CCDC154 chr16
CLCN7 chr16
TELO2 chr16
IFT140 chr16
TMEM204 chr16
CRAMP1L chr16
HN1L chr16
MAPK8IP3 chr16
NME3 chr16
MRPS34 chr16
SPSB3 chr16
NUBP2 chr16
IGFALS chr16
HAGH chr16
NDUFB10 chr16
TBL3 chr16
NOXO1 chr16
GFER chr16
SYNGR3 chr16
ZNF598 chr16
NPW chr16
SLC9A3R2 chr16
TSC2 chr16
PKD1 chr16
RAB26 chr16
TRAF7 chr16
CASKIN1 chr16
C16orf79 chr16
PGP chr16
E4F1 chr16
DNASE1L2 chr16
DCI chr16
ABCA3 chr16
CCNF chr16
NTN3 chr16
TBC1D24 chr16
AMDHD2 chr16
SRRM2 chr16
PRSS33 chr16
FLYWCH1 chr16
HCFC1R1 chr16
CCDC64B chr16
ZNF205 chr16
ZNF213 chr16
OR1F1 chr16
ZNF200 chr16
MEFV chr16
ZNF263 chr16
TIGD7 chr16
ZNF434 chr16
ZNF174 chr16
CLUAP1 chr16
BTBD12 chr16
DNASE1 chr16
CREBBP chr16
ADCY9 chr16
TFAP4 chr16
GLIS2 chr16
VASN chr16
DNAJA3 chr16
NMRAL1 chr16
HMOX2 chr16
LOC342346 chr16
MGRN1 chr16
ANKS3 chr16
ZNF500 chr16
ROGDI chr16
GLYR1 chr16
UBN1 chr16
SEC14L5 chr16
NAGPA chr16
C16orf89 chr16
FAM86A chr16
A2BP1 chr16
TMEM114 chr16
C16orf68 chr16
ABAT chr16
TMEM186 chr16
PMM2 chr16
GRIN2A chr16
NUBP1 chr16
CIITA chr16
CLEC16A chr16
SOCS1 chr16
PRM3 chr16
TXNDC11 chr16
ZC3H7A chr16
RSL1D1 chr16
GSPT1 chr16
ERCC4 chr16
MKL2 chr16
LOC728138 chr16
RRN3 chr16
C16orf45 chr16
KIAA0430 chr16
MYH11 chr16
XYLT1 chr16
ARL6IP1 chr16
SMG1 chr16
TMC7 chr16
COQ7 chr16
ITPRIPL2 chr16
GDE1 chr16
CP110 chr16
C16orf62 chr16
C16orf88 chr16
GPRC5B chr16
GPR139 chr16
UMOD chr16
DNAH3 chr16
METTL9 chr16
IGSF6 chr16
LOC730092 chr16
UQCRC2 chr16
C16orf65 chr16
C16orf52 chr16
EEF2K chr16
POLR3E chr16
USP31 chr16
COG7 chr16
GGA2 chr16
EARS2 chr16
UBFD1 chr16
PALB2 chr16
PLK1 chr16
ERN2 chr16
PRKCB chr16
RBBP6 chr16
TNRC6A chr16
SLC5A11 chr16
ARHGAP17 chr16
ZKSCAN2 chr16
HS3ST4 chr16
JMJD5 chr16
KIAA0556 chr16
GSG1L chr16
XPO6 chr16
CLN3 chr16
APOB48R chr16
SULT1A2 chr16
RABEP2 chr16
NFATC2IP chr16
SPNS1 chr16
MMAA chr16
SPN chr16
KIF22 chr16
MAZ chr16
PRRT2 chr16
C16orf53 chr16
MVP chr16
SEZ6L2 chr16
ASPHD1 chr16
KCTD13 chr16
TAOK2 chr16
HIRIP3 chr16
INO80E chr16
FAM57B chr16
MAPK3 chr16
CD2BP2 chr16
MYLPF chr16
ZNF771 chr16
ITGAL chr16
ZNF768 chr16
ZNF747 chr16
ZNF764 chr16
ZNF785 chr16
ZNF689 chr16
PRR14 chr16
FBRS chr16
SRCAP chr16
ZNF629 chr16
FBXL19 chr16
SETD1A chr16
HSD3B7 chr16
ZNF646 chr16
POL3S chr16
BCKDK chr16
PRSS36 chr16
FUS chr16
TRIM72 chr16
ITGAM chr16
ITGAD chr16
ARMC5 chr16
C16orf58 chr16
ZNF267 chr16
MYLK3 chr16
GPT2 chr16
NETO2 chr16
PHKB chr16
ABCC12 chr16
HEATR3 chr16
NOD2 chr16
SALL1 chr16
TOX3 chr16
CHD9 chr16
RBL2 chr16
RPGRIP1L chr16
FTO chr16
IRX3 chr16
MMP2 chr16
LPCAT2 chr16
CES7 chr16
BBS2 chr16
MT1E chr16
MT1A chr16
RSPRY1 chr16
PLLP chr16
CCL17 chr16
COQ9 chr16
POLR2C chr16
GPR56 chr16
CCDC135 chr16
KATNB1 chr16
AF452719 chr16
CNGB1 chr16
ZNF319 chr16
C16orf57 chr16
MMP15 chr16
KLKBL4 chr16
GINS3 chr16
CNOT1 chr16
GOT2 chr16
CDH11 chr16
CDH5 chr16
CMTM1 chr16
CDH16 chr16
CES2 chr16
CES3 chr16
C16orf70 chr16
B3GNT9 chr16
TRADD chr16
HSF4 chr16
NOL3 chr16
EXOC3L chr16
FHOD1 chr16
LRRC36 chr16
ZDHHC1 chr16
ATP6V0D1 chr16
FAM65A chr16
RLTPR chr16
ACD chr16
PARD6A chr16
C16orf48 chr16
GFOD2 chr16
RANBP10 chr16
TSNAXIP1 chr16
CENPT chr16
THAP11 chr16
EDC4 chr16
NRN1L chr16
PSMB10 chr16
LCAT chr16
SLC12A4 chr16
DDX28 chr16
DUS2L chr16
SLC7A6OS chr16
PRMT7 chr16
SMPD3 chr16
CDH3 chr16
CDH1 chr16
HAS3 chr16
DERPC chr16
CHTF8 chr16
CIRH1A chr16
PDF chr16
COG8 chr16
TERF2 chr16
NFAT5 chr16
NQO1 chr16
NOB1 chr16
PDPR chr16
EXOSC6 chr16
AARS chr16
DDX19B chr16
FUK chr16
COG4 chr16
IL34 chr16
MTSS1L chr16
CALB2 chr16
ZNF23 chr16
ZNF19 chr16
MARVELD3 chr16
PHLPP2 chr16
ATXN1L chr16
ZNF821 chr16
DHX38 chr16
ZFHX3 chr16
LOC283922 chr16
GLG1 chr16
WDR59 chr16
ZNRF1 chr16
LDHD chr16
CHST5 chr16
KARS chr16
TERF2IP chr16
ATMIN chr16
KLHL36 chr16
USP10 chr16
KIAA0513 chr16
KIAA0182 chr16
GINS2 chr16
COX4NB chr16
FOXF1 chr16
MTHFSD chr16
FOXC2 chr16
FBXO31 chr16
MAP1LC3B chr16
ZCCHC14 chr16
JPH3 chr16
KLHDC4 chr16
SLC7A5 chr16
ZNF469 chr16
ZFPM1 chr16
ZC3H18 chr16
MVD chr16
SNAI3 chr16
CTU2 chr16
FAM38A chr16
CDT1 chr16
APRT chr16
GALNS chr16
CBFA2T3 chr16
ACSF3 chr16
ZNF778 chr16
ANKRD11 chr16
SPG7 chr16
CPNE7 chr16
SPATA2L chr16
C16orf7 chr16
ZNF276 chr16
SPIRE2 chr16
TCF25 chr16
DEF8 chr16
CENPBD1 chr16
DBNDD1 chr16
GAS8 chr16
C17orf97 chr17
NXN chr17
CLUH chr17
CYB5D2 chr17
USP6 chr17
XAF1 chr17
TNK1 chr17
PER1 chr17
VAMP2 chr17
AURKB chr17
C17orf68 chr17
GLP2R chr17
ELAC2 chr17
EPN2 chr17
B9D1 chr17
RP11-192H23 chr17
AC010761 chr17
CRLF3 chr17
LIG3 chr17
RP11-799D4 chr17
GPR179 chr17
PCGF2 chr17
EIF1 chr17
PSME3 chr17
RPL27 chr17
IFI35 chr17
ETV4 chr17
ASB16-AS1 chr17
DBF4B chr17
CCDC103 chr17
RP11-669E14 chr17
SCRN2 chr17
NME2 chr17
BZRAP1-AS1 chr17
FTSJ3 chr17
ICAM2 chr17
TEX2 chr17
PRKCA chr17
LINC00674 chr17
RP11-1124B17 chr17
CTD-2514K5 chr17
GPR142 chr17
GPRC5C chr17
C17orf77 chr17
C17orf28 chr17
SLC16A5 chr17
CASKIN2 chr17
MYO15B chr17
MRPL38 chr17
RNF157-AS1 chr17
BIRC5 chr17
CANT1 chr17
HRNBP3 chr17
ENPP7 chr17
CTD-2561B21 chr17
AZI1 chr17
AC027601 chr17
ENTHD2 chr17
C17orf89 chr17
RP11-1055B8 chr17
ACTG1 chr17
ASPSCR1 chr17
DUS1L chr17
C17orf101 chr17
FOXK2 chr17
GLOD4 chr17
SHPK chr17
C17orf107 chr17
INCA1 chr17
AMAC1L3 chr17
SAT2 chr17
LSMD1 chr17
MEIS3 chr17
TNFRSF13B chr17
CCDC144B chr17
SPAG5 chr17
C17orf102 chr17
LASP1 chr17
GJD3 chr17
KRT40 chr17
C17orf65 chr17
ADAM11 chr17
AX746787 chr17
SNF8 chr17
UTP18 chr17
RNF43 chr17
CACNG5 chr17
FAM20A chr17
ABCA8 chr17
DNAI2 chr17
KIF19 chr17
OTOP3 chr17
PRCD chr17
SLC16A3 chr17
AX746971 chr17
GNA13 chr17
STRA13 chr17
RPH3AL chr17
FAM101B chr17
VPS53 chr17
GEMIN4 chr17
RNMTL1 chr17
TIMM22 chr17
ABR chr17
TUSC5 chr17
MYO1C chr17
PITPNA chr17
SCARF1 chr17
RILP chr17
WDR81 chr17
SERPINF2 chr17
SMYD4 chr17
RTN4RL1 chr17
DPH1 chr17
HIC1 chr17
SMG6 chr17
TSR1 chr17
SGSM2 chr17
MNT chr17
LOC284009 chr17
KIAA0664 chr17
RAP1GAP2 chr17
TRPV3 chr17
TRPV1 chr17
CTNS chr17
TAX1BP3 chr17
P2RX5 chr17
ITGAE chr17
GSG2 chr17
C17orf85 chr17
ATP2A3 chr17
ZZEF1 chr17
ANKFY1 chr17
SPNS3 chr17
SPNS2 chr17
MYBBP1A chr17
SMTNL2 chr17
PELP1 chr17
ZMYND15 chr17
VMO1 chr17
GLTPD2 chr17
PLD2 chr17
MINK1 chr17
CHRNE chr17
CAMTA2 chr17
KIF1C chr17
ZNF232 chr17
ZNF594 chr17
RABEP1 chr17
NUP88 chr17
C1QBP chr17
DHX33 chr17
WSCD1 chr17
PITPNM3 chr17
KIAA0753 chr17
TXNDC17 chr17
C17orf100 chr17
SLC13A5 chr17
ALOX12 chr17
C17orf49 chr17
SLC16A11 chr17
DLG4 chr17
DVL2 chr17
PHF23 chr17
GABARAP chr17
DULLARD chr17
NEURL4 chr17
TMEM95 chr17
C17orf61 chr17
SPEM1 chr17
C17orf74 chr17
TMEM102 chr17
FGF11 chr17
CHRNB1 chr17
ZBTB4 chr17
POLR2A chr17
TNFSF12-TNFSF13 chr17
SENP3 chr17
CD68 chr17
MPDU1 chr17
FXR2 chr17
SHBG chr17
ATP1B2 chr17
DNAH2 chr17
KDM6B chr17
TMEM88 chr17
CYB5D1 chr17
CHD3 chr17
LOC284023 chr17
KCNAB3 chr17
CNTROB chr17
GUCY2D chr17
ALOX15B chr17
ALOXE3 chr17
C17orf59 chr17
PFAS chr17
RANGRF chr17
ARHGEF15 chr17
KRBA2 chr17
USP43 chr17
MYH13 chr17
TMEM220 chr17
DNAH9 chr17
ZNF18 chr17
HS3ST3B1 chr17
PMP22 chr17
FAM18B2 chr17
CDRT1 chr17
ZNF286A chr17
ADORA2B chr17
TTC19 chr17
NCOR1 chr17
CENPV chr17
TRPV2 chr17
ZNF624 chr17
KIAA0864 chr17
FLCN chr17
NT5M chr17
PEMT chr17
SMCR5 chr17
RAI1 chr17
TOM1L2 chr17
LRRC48 chr17
